[2018-06-05 09:44:28] - Bridge - INFO     - [Bridge.py:236  } Requesting https://develop2-api.symphony.com:8444/sessionauth/v1/authenticate
[2018-06-05 09:44:29] - Bridge - INFO     - [Bridge.py:242  } Requesting https://develop2-api.symphony.com:8444/keyauth/v1/authenticate
[2018-06-05 09:44:31] - Bridge - INFO     - [Bridge.py:248  } Tokens retrieved {'sessionToken': 'eyJhbGciOiJSUzUxMiJ9.eyJzdWIiOiJib3QudXNlcjIxIiwiaXNzIjoic3ltcGhvbnkiLCJzZXNzaW9uSWQiOiJjODYxMTk3ZWNmYjRmOGUxMzZlMzAzNjk2OGNkNTYyMDdkMzVjMTRhNjJiN2YyMmY2YjY5YmEwNzAxYWRhM2RiZDVlNTM1MmY1YmU3ZmNjNWRlZjI3YjdiNzUwMGMyNmQwMDAwMDE2M2NkOWRlYzAyMDAwMTNkNzAwMDAwMDBiYyIsInVzZXJJZCI6IjM0OTAyNjIyMjM0MjMzMiJ9.HicobCd1ldBycN5-53TuXFdLhQTAhiI3X8gNSHtUkfu5uCIJbHhBBvF89dzG7ycvTFGUahHwJRs_PGObpFx3UWe9ECdJSGxRyXIkEH2vgDb8JXDNyQ8eY0Av7Lu0EZsjT6LPEVHuvsBCDL9ZnrF18Vq4TSEQGWoUE85J6uEvTJAzQOtOmu1euJc-wih__L9JXa59aMXnZGhNgGc9BvRDT5aOKQuWKN75zdVgTXi-HCqJ4XDx461gBiWDun6nNHRxghz08m_x57RJCyzx2CKPfMlpYNQ_hiFfWndjuU2bxWTnPg4iKC2zXLvIsw0PIsffDsbGZshaJ9fWxzJEfaHOoA', 'keyManagerToken': '0100356269c593bebc026f1d2609d787c04bfabc39c04bcbfa3f9e56bf860940d5fb0b9f5e1499d93cbb685da661775a13d3460f1253d4d55a849f3bde5051b01701839df4ee0a7e957fe7cc13a3c7993131e7eee831096c09c1d88972a7b102812050e8dce0c808e72e4fa978704a6947452f70b124c0b21a496dbec715a1323aaa4c7818f37db7c67c55852d181e14476aa7548b4cd3ebe55a70f362b5932fb6a5b196f0f420c7a8d7778e384de64bbdc007200dccbd1768269219a336'}
[2018-06-05 09:44:31] - Bridge - INFO     - [Bridge.py:173  } [API]Requesting https://develop2.symphony.com/pod/v2/sessioninfo
[2018-06-05 09:44:33] - Bridge - INFO     - [Bridge.py:178  } [API]Status 200
[2018-06-05 09:44:33] - Bridge - INFO     - [Bridge.py:173  } [API]Requesting https://develop2.symphony.com/pod/v3/room/RoDOROntj7QfyTZWQu1WoH___pxU3hyxdA/update
[2018-06-05 09:45:18] - Bridge - INFO     - [Bridge.py:173  } [API]Requesting https://develop2.symphony.com/pod/v2/sessioninfo
[2018-06-05 09:45:19] - Bridge - INFO     - [Bridge.py:178  } [API]Status 200
[2018-06-05 09:45:19] - Bridge - INFO     - [Bridge.py:173  } [API]Requesting https://develop2.symphony.com/pod/v1/streams/list
[2018-06-05 09:45:20] - Bridge - INFO     - [Bridge.py:178  } [API]Status 200
[2018-06-05 09:45:20] - Bridge - INFO     - [Bridge.py:173  } [API]Requesting https://develop2.symphony.com//pod/v2/user?uid=349026222342332&local=true
[2018-06-05 09:45:21] - Bridge - INFO     - [Bridge.py:178  } [API]Status 200
[2018-06-05 09:45:21] - Bridge - INFO     - [Bridge.py:173  } [API]Requesting https://develop2.symphony.com//pod/v2/user?uid=349026222342197&local=true
[2018-06-05 09:45:23] - Bridge - INFO     - [Bridge.py:178  } [API]Status 200
[2018-06-05 10:01:37] - Bridge - INFO     - [Bridge.py:173  } [API]Requesting https://develop2.symphony.com/pod/v2/sessioninfo
[2018-06-05 10:01:39] - Bridge - INFO     - [Bridge.py:178  } [API]Status 200
[2018-06-05 10:01:39] - Bridge - INFO     - [Bridge.py:173  } [API]Requesting https://develop2.symphony.com/pod/v1/streams/list
[2018-06-05 10:01:40] - Bridge - INFO     - [Bridge.py:178  } [API]Status 200
[2018-06-05 10:01:40] - Bridge - INFO     - [Bridge.py:173  } [API]Requesting https://develop2.symphony.com//pod/v2/user?uid=349026222342332&local=true
